,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inch as ees (last 3 hrs)
252,Lhokseumawe,ID,2020-05-09 12:13:23,5.18,97.15,79.54,87,98,10.85,light rain,0,0
253,Riverton,US,2020-05-09 12:09:40,40.52,-111.94,48.2,52,1,8.05,clear sky,0,0
254,Lata,PT,2020-05-09 12:06:19,40.16,-8.33,64.99,78,99,5.99,moderate rain,0,0
255,Givors,FR,2020-05-09 12:13:23,45.58,4.77,77.0,27,22,17.22,few clouds,0,0
256,Greystones,IE,2020-05-09 12:11:25,53.14,-6.06,64.99,58,100,1.01,overcast clouds,0,0
257,Tuy Hoa,VN,2020-05-09 12:13:24,13.08,109.3,80.44,86,56,7.45,broken clouds,0,0
258,Merida,MX,2020-05-09 12:13:24,20.97,-89.62,80.01,78,75,6.93,broken clouds,0,0
259,Malvern,US,2020-05-09 12:13:24,34.36,-92.81,46.4,75,1,5.12,clear sky,0,0
260,Riyadh,SA,2020-05-09 12:12:28,24.69,46.72,100.4,14,75,9.17,broken clouds,0,0
261,Kemijarvi,FI,2020-05-09 12:13:24,66.71,27.43,41.29,67,97,6.69,overcast clouds,0,0
262,Okato,NZ,2020-05-09 12:13:24,-39.2,173.88,48.99,86,1,5.99,clear sky,0,0
263,Komsomolskiy,UZ,2020-05-09 12:06:44,40.43,71.72,77.0,31,67,9.17,light rain,0,0
264,Solginskiy,RU,2020-05-09 12:13:25,61.05,41.34,58.69,46,78,3.33,broken clouds,0,0
265,East London,ZA,2020-05-09 12:06:01,-33.02,27.91,71.6,78,0,5.82,clear sky,0,0
266,Ishigaki,JP,2020-05-09 12:06:41,24.34,124.16,78.8,94,20,6.93,few clouds,0,0
267,Shahapur,IN,2020-05-09 12:13:25,19.45,73.33,89.6,66,0,10.29,clear sky,0,0
268,Iqaluit,CA,2020-05-09 12:05:51,63.75,-68.51,32.0,95,75,2.24,broken clouds,0,0
269,Kenora,CA,2020-05-09 12:12:44,49.82,-94.43,26.6,73,20,4.7,few clouds,0,0
270,Nanakuli,US,2020-05-09 12:13:25,21.39,-158.15,73.4,88,1,5.82,clear sky,0,0
271,Saint Anthony,US,2020-05-09 12:08:55,45.02,-93.22,36.0,74,90,1.5,overcast clouds,0,0
272,Miri,MY,2020-05-09 12:06:31,4.41,114.01,82.4,94,75,4.68,broken clouds,0,0
273,Carberry,CA,2020-05-09 12:13:26,49.87,-99.36,30.2,92,90,13.87,light snow,0,0
274,Saint-Pierre,RE,2020-05-09 12:13:26,-21.34,55.48,78.8,65,20,17.22,few clouds,0,0
275,Balkhash,KZ,2020-05-09 12:13:26,46.84,74.98,77.0,16,100,4.47,overcast clouds,0,0
276,Mandalgovi,MN,2020-05-09 12:13:26,45.76,106.27,42.17,54,51,21.03,broken clouds,0,0
277,Rio Grande City,US,2020-05-09 12:13:26,26.38,-98.82,66.2,88,90,16.11,overcast clouds,0,0
278,Verkhnyaya Inta,RU,2020-05-09 12:09:55,65.98,60.31,50.29,52,34,1.72,scattered clouds,0,0
279,Ust-Tarka,RU,2020-05-09 12:13:27,55.57,75.7,75.33,25,0,9.4,clear sky,0,0
280,Erdenet,MN,2020-05-09 12:13:27,49.03,104.08,38.89,71,82,1.97,broken clouds,0,0
281,Novobirilyussy,RU,2020-05-09 12:06:59,56.95,90.67,63.7,54,42,5.95,scattered clouds,0,0
282,La Ronge,CA,2020-05-09 12:09:05,55.1,-105.28,32.0,96,90,8.05,light snow,0,0
283,Meulaboh,ID,2020-05-09 12:12:09,4.14,96.13,80.06,85,100,4.38,moderate rain,0,0
284,Arkadak,RU,2020-05-09 12:13:27,51.93,43.5,60.13,65,100,4.61,light rain,0,0
285,Bjelovar,HR,2020-05-09 12:13:28,45.9,16.85,78.01,36,36,12.75,scattered clouds,0,0
286,Teshie,GH,2020-05-09 12:13:28,5.58,-0.11,89.6,62,40,9.17,scattered clouds,0,0
287,Puqi,CN,2020-05-09 12:13:28,29.72,113.88,64.63,81,99,7.61,overcast clouds,0,0
288,Brae,GB,2020-05-09 12:07:11,60.4,-1.35,44.6,56,100,10.29,overcast clouds,0,0
289,Srandakan,ID,2020-05-09 12:13:28,-7.94,110.25,80.4,85,100,5.46,moderate rain,0,0
290,Pacific Grove,US,2020-05-09 12:06:16,36.62,-121.92,51.8,93,90,3.67,mist,0,0
291,Sandnessjoen,NO,2020-05-09 12:13:29,66.02,12.63,41.0,64,40,4.7,scattered clouds,0,0
292,Ushtobe,KZ,2020-05-09 12:06:55,45.25,77.98,80.44,19,100,12.03,overcast clouds,0,0
293,Cupira,BR,2020-05-09 12:13:29,-8.62,-35.95,77.07,70,76,7.85,broken clouds,0,0
294,Tarata,BO,2020-05-09 12:13:29,-17.62,-66.02,51.8,62,0,2.57,clear sky,0,0
295,Sidi Ali,DZ,2020-05-09 12:12:13,36.1,0.42,68.95,74,96,10.16,overcast clouds,0,0
296,Hopelchen,MX,2020-05-09 12:13:29,19.77,-89.85,74.79,91,12,4.56,few clouds,0,0
297,Pangnirtung,CA,2020-05-09 12:06:39,66.15,-65.71,30.18,88,100,2.28,overcast clouds,0,0
298,Igrim,RU,2020-05-09 12:13:30,63.19,64.42,68.13,47,46,4.72,scattered clouds,0,0
299,Half Moon Bay,US,2020-05-09 12:07:11,37.46,-122.43,51.8,87,1,3.36,clear sky,0,0
300,Axim,GH,2020-05-09 12:12:14,4.87,-2.24,86.63,70,57,8.25,broken clouds,0,0
301,Ust-Kuyga,RU,2020-05-09 12:13:30,70.02,135.6,26.94,97,100,1.66,overcast clouds,0,0
302,Skibbereen,IE,2020-05-09 12:13:30,51.55,-9.27,62.6,72,20,10.29,few clouds,0,0
303,Sabang,ID,2020-05-09 12:05:46,5.89,95.32,78.4,90,100,10.94,moderate rain,0,0
304,Horadiz,AZ,2020-05-09 12:13:31,39.45,47.34,71.6,64,75,4.7,broken clouds,0,0
305,Lucapa,AO,2020-05-09 12:13:31,-8.42,20.74,85.89,47,7,6.29,clear sky,0,0
306,Manoel Urbano,BR,2020-05-09 12:13:31,-8.84,-69.26,67.8,75,27,2.26,scattered clouds,0,0
307,Amargosa,BR,2020-05-09 12:13:31,-13.03,-39.6,71.47,78,90,11.41,overcast clouds,0,0
308,Itarema,BR,2020-05-09 12:09:25,-2.92,-39.92,81.63,80,97,8.43,overcast clouds,0,0
309,Zhezkazgan,KZ,2020-05-09 12:13:31,47.8,67.71,64.4,88,90,13.42,shower rain,0,0
310,Vila Velha,BR,2020-05-09 12:03:50,-20.33,-40.29,73.99,88,75,5.82,light rain,0,0
311,Bubaque,GW,2020-05-09 12:13:32,11.28,-15.83,77.92,73,98,12.48,overcast clouds,0,0
312,Ngama,TD,2020-05-09 12:13:32,11.78,17.17,108.79,7,4,10.65,clear sky,0,0
313,Hofn,IS,2020-05-09 12:05:55,64.25,-15.21,34.88,71,50,9.13,scattered clouds,0,0
314,Caraz,PE,2020-05-09 12:13:32,-9.05,-77.81,61.9,53,81,6.2,broken clouds,0,0
315,Palmer,US,2020-05-09 12:06:19,42.16,-72.33,36.0,64,90,14.99,light rain,0,0
316,Coral Terrace,US,2020-05-09 12:13:33,25.75,-80.3,73.99,83,1,0.98,clear sky,0,0
317,Beidao,CN,2020-05-09 12:13:33,34.57,105.89,57.54,37,11,4.68,few clouds,0,0
318,Codrington,AU,2020-05-09 12:13:33,-38.27,141.97,47.64,67,50,18.77,light rain,0,0
319,Kualakapuas,ID,2020-05-09 12:05:50,-3.01,114.39,77.0,100,75,6.93,broken clouds,0,0
320,Puerto Baquerizo Moreno,EC,2020-05-09 12:13:33,-0.9,-89.6,75.72,92,25,10.56,scattered clouds,0,0
321,Ha Tinh,VN,2020-05-09 12:13:34,18.33,105.9,84.96,77,29,5.41,scattered clouds,0,0
322,Norwich,GB,2020-05-09 12:13:34,52.63,1.3,71.01,46,0,6.93,clear sky,0,0
323,Zambezi,ZM,2020-05-09 12:13:34,-13.54,23.1,82.98,33,13,9.15,few clouds,0,0
324,Xining,CN,2020-05-09 12:13:34,36.62,101.77,50.05,49,25,1.99,scattered clouds,0,0
325,Bud,US,2020-05-09 12:13:34,39.45,-86.18,35.01,80,1,3.36,clear sky,0,0
326,Hoyanger,NO,2020-05-09 12:13:35,61.22,6.07,46.99,56,97,9.17,light snow,0,0
327,Luwuk,ID,2020-05-09 12:07:07,-0.95,122.79,80.6,78,100,4.12,moderate rain,0,0
328,Taloqan,AF,2020-05-09 12:13:35,36.74,69.53,80.74,32,2,8.34,clear sky,0,0
329,Berdigestyakh,RU,2020-05-09 12:13:35,62.1,126.7,25.99,92,100,5.26,overcast clouds,0,0
330,Bereznik,RU,2020-05-09 12:13:35,62.86,42.71,57.74,44,39,6.06,scattered clouds,0,0
331,Dubna,RU,2020-05-09 12:13:36,56.73,37.17,60.4,50,9,6.17,clear sky,0,0
332,Bandarbeyla,SO,2020-05-09 12:13:36,9.49,50.81,87.15,60,0,12.39,clear sky,0,0
333,Bambous Virieux,MU,2020-05-09 12:06:14,-20.34,57.76,81.0,57,20,10.29,few clouds,0,0
334,Jablunka,CZ,2020-05-09 12:13:36,49.38,17.95,77.0,33,40,4.7,scattered clouds,0,0
335,Thompson,CA,2020-05-09 12:05:50,55.74,-97.86,17.6,92,75,9.17,broken clouds,0,0
336,Sept-Iles,CA,2020-05-09 12:13:36,50.2,-66.38,37.4,59,20,3.36,few clouds,0,0
337,Luganville,VU,2020-05-09 12:13:36,-15.53,167.17,76.91,79,34,6.24,scattered clouds,0,0
338,Leh,IN,2020-05-09 12:09:26,34.17,77.58,50.25,40,92,4.45,overcast clouds,0,0
339,Nome,US,2020-05-09 12:06:05,64.5,-165.41,39.2,78,40,10.29,scattered clouds,0,0
340,Nushki,PK,2020-05-09 12:13:37,29.55,66.02,97.0,9,0,12.28,clear sky,0,0
341,Ipixuna,BR,2020-05-09 12:06:58,-1.76,-48.8,78.8,94,75,2.24,broken clouds,0,0
342,Port Hedland,AU,2020-05-09 12:08:52,-20.32,118.57,77.0,53,42,6.17,scattered clouds,0,0
343,Guarapari,BR,2020-05-09 12:13:37,-20.67,-40.5,73.99,71,0,8.61,clear sky,0,0
344,Naryan-Mar,RU,2020-05-09 12:13:37,67.67,53.09,34.41,99,100,7.81,overcast clouds,0,0
345,Caldwell,US,2020-05-09 12:13:37,43.66,-116.69,53.6,40,1,13.87,clear sky,0,0
346,Chaozhou,CN,2020-05-09 12:13:38,23.67,116.64,86.0,74,20,11.18,few clouds,0,0
347,Dzidzantun,MX,2020-05-09 12:13:38,21.25,-89.05,74.97,93,92,5.23,overcast clouds,0,0
348,Kieta,PG,2020-05-09 12:13:38,-6.22,155.63,80.46,79,88,5.01,overcast clouds,0,0
349,Alyangula,AU,2020-05-09 12:13:38,-13.85,136.42,75.2,100,75,1.12,broken clouds,0,0
350,Fairbanks,US,2020-05-09 12:13:38,64.84,-147.72,50.0,68,1,4.7,clear sky,0,0
351,Jumla,NP,2020-05-09 12:13:38,29.27,82.18,58.35,60,84,4.25,moderate rain,0,0
352,Limenaria,GR,2020-05-09 12:13:39,40.63,24.58,68.0,56,20,9.17,few clouds,0,0
353,Buraydah,SA,2020-05-09 12:06:43,26.33,43.98,100.4,29,100,14.99,overcast clouds,0,0
354,Hambantota,LK,2020-05-09 12:09:36,6.12,81.12,84.99,79,90,13.11,light rain,0,0
355,Hirara,JP,2020-05-09 12:06:47,24.8,125.28,78.8,83,40,10.29,scattered clouds,0,0
356,Lasem,ID,2020-05-09 12:13:39,-6.69,111.45,80.82,83,100,7.14,light rain,0,0
357,Abnub,EG,2020-05-09 12:13:39,27.27,31.15,87.76,17,0,16.15,clear sky,0,0
358,Adre,TD,2020-05-09 12:13:39,13.47,22.2,101.35,8,2,7.4,clear sky,0,0
359,Mildura,AU,2020-05-09 12:05:51,-34.2,142.15,51.8,66,16,8.05,few clouds,0,0
360,Visnes,NO,2020-05-09 12:13:40,59.36,5.22,48.99,66,75,6.93,broken clouds,0,0
361,Zykovo,RU,2020-05-09 12:13:40,55.95,93.15,66.2,39,58,6.71,broken clouds,0,0
362,Ponta Delgada,PT,2020-05-09 12:13:40,37.73,-25.67,62.6,82,40,19.46,scattered clouds,0,0
363,Okhotsk,RU,2020-05-09 12:12:08,59.38,143.3,32.88,93,15,3.04,few clouds,0,0
364,Korla,CN,2020-05-09 12:06:50,41.76,86.15,78.75,17,99,4.12,overcast clouds,0,0
365,Atlantic City,US,2020-05-09 12:10:35,39.36,-74.42,37.99,47,1,14.99,clear sky,0,0
366,Pasighat,IN,2020-05-09 12:13:41,28.07,95.33,78.21,56,0,1.16,clear sky,0,0
367,Igarka,RU,2020-05-09 12:09:51,67.47,86.58,33.51,93,100,14.18,overcast clouds,0,0
368,Arlit,NE,2020-05-09 12:13:41,18.74,7.39,106.09,6,0,5.06,clear sky,0,0
369,Muroto,JP,2020-05-09 12:13:41,33.28,134.15,64.4,93,75,4.7,shower rain,0,0
370,Lampang,TH,2020-05-09 12:13:42,18.33,99.5,90.0,78,75,5.82,thunderstorm,0,0
371,Mongu,ZM,2020-05-09 12:13:42,-15.25,23.13,83.91,32,0,7.96,clear sky,0,0
372,Baykit,RU,2020-05-09 12:06:05,61.67,96.37,55.49,74,100,12.62,light rain,0,0
373,Chengde,CN,2020-05-09 12:13:42,40.97,117.94,62.83,60,99,3.65,overcast clouds,0,0
374,Sabha,LY,2020-05-09 12:13:42,27.04,14.43,96.71,11,8,8.48,clear sky,0,0
375,Hanmer Springs,NZ,2020-05-09 12:13:42,-42.52,172.82,47.8,78,0,4.18,clear sky,0,0
376,Mackenzie,CA,2020-05-09 12:05:56,55.3,-123.17,32.0,73,1,5.79,clear sky,0,0
377,Hasaki,JP,2020-05-09 12:06:53,35.73,140.83,64.4,72,90,9.17,light rain,0,0
378,Derzhavinsk,KZ,2020-05-09 12:13:43,51.1,66.32,77.38,22,35,18.97,scattered clouds,0,0
379,Rawson,AR,2020-05-09 12:12:42,-43.3,-65.1,60.12,48,19,21.47,few clouds,0,0
380,Puerto Suarez,BO,2020-05-09 12:13:43,-18.95,-57.8,57.2,93,0,2.24,clear sky,0,0
381,Weligama,LK,2020-05-09 12:09:06,5.97,80.42,84.63,78,81,6.85,broken clouds,0,0
382,Suntar,RU,2020-05-09 12:07:14,62.14,117.63,36.37,72,52,3.42,broken clouds,0,0
383,Sechura,PE,2020-05-09 12:09:16,-5.56,-80.82,70.7,82,87,9.55,overcast clouds,0,0
384,Pesca,CO,2020-05-09 12:13:44,5.55,-73.05,52.74,88,100,3.58,overcast clouds,0,0
385,Olari,RO,2020-05-09 12:13:44,46.38,21.55,75.2,27,72,3.36,broken clouds,0,0
386,Coxim,BR,2020-05-09 12:13:44,-18.51,-54.76,64.4,69,0,7.92,clear sky,0,0
387,Yenangyaung,MM,2020-05-09 12:13:44,20.47,94.88,102.16,15,0,3.49,clear sky,0,0
388,Kulunda,RU,2020-05-09 12:13:44,52.57,78.94,73.02,30,0,18.66,clear sky,0,0
389,Kanniyakumari,IN,2020-05-09 12:13:44,8.08,77.57,85.98,77,48,11.36,scattered clouds,0,0
390,Araucaria,BR,2020-05-09 12:13:45,-25.59,-49.41,55.99,100,90,3.36,mist,0,0
391,Conil,FR,2020-05-09 12:13:45,44.97,3.72,71.6,35,46,10.29,scattered clouds,0,0
392,Wad Rawah,SD,2020-05-09 12:13:45,15.16,33.14,105.66,7,95,7.2,overcast clouds,0,0
393,Batagay-Alyta,RU,2020-05-09 12:07:06,67.8,130.41,18.36,96,100,1.72,overcast clouds,0,0
394,Tarnogskiy Gorodok,RU,2020-05-09 12:13:45,60.5,43.58,57.36,59,74,6.26,broken clouds,0,0
395,Telimele,GN,2020-05-09 12:13:45,10.92,-13.33,92.3,43,83,6.11,broken clouds,0,0
396,Saldanha,ZA,2020-05-09 12:06:20,-33.01,17.94,84.2,32,0,4.7,clear sky,0,0
397,Yenagoa,NG,2020-05-09 12:06:25,4.92,6.26,97.68,47,81,1.34,broken clouds,0,0
398,Bambanglipuro,ID,2020-05-09 12:13:46,-7.95,110.28,80.26,85,100,5.64,moderate rain,0,0
399,Sishui,CN,2020-05-09 12:13:46,35.65,117.28,61.7,79,100,8.43,overcast clouds,0,0
400,Pisco,PE,2020-05-09 12:06:00,-13.7,-76.22,62.01,93,78,1.12,mist,0,0
401,Rocha,UY,2020-05-09 12:06:58,-34.48,-54.33,51.6,73,64,9.37,broken clouds,0,0
402,Vilhena,BR,2020-05-09 12:10:54,-12.74,-60.15,62.6,93,100,9.17,overcast clouds,0,0
403,Ville-Marie,CA,2020-05-09 12:13:46,47.33,-79.43,23.0,85,1,9.17,clear sky,0,0
404,Airai,TL,2020-05-09 12:05:56,-8.93,125.41,58.62,100,87,3.4,overcast clouds,0,0
405,Paptalaya,HN,2020-05-09 12:13:47,15.5,-84.32,76.82,92,89,1.03,light rain,0,0
406,Maragogi,BR,2020-05-09 12:13:47,-9.01,-35.22,81.46,77,58,9.84,light rain,0,0
407,Porosozero,RU,2020-05-09 12:13:47,62.72,32.73,49.37,63,73,10.65,broken clouds,0,0
408,Teguldet,RU,2020-05-09 12:13:47,57.31,88.17,69.69,54,65,5.73,broken clouds,0,0
409,Bonavista,CA,2020-05-09 12:06:36,48.65,-53.11,37.2,87,2,14.94,clear sky,0,0
410,Sayyan,YE,2020-05-09 12:13:47,15.17,44.32,73.4,21,12,16.53,few clouds,0,0
411,Camacha,PT,2020-05-09 12:06:59,33.08,-16.33,69.8,56,20,18.34,few clouds,0,0
412,San Lucas,MX,2020-05-09 12:13:48,16.6,-92.72,74.3,69,75,1.61,broken clouds,0,0
413,Touros,BR,2020-05-09 12:05:56,-5.2,-35.46,80.6,78,75,8.05,broken clouds,0,0
414,Forbes,AU,2020-05-09 12:13:48,-33.38,148.02,53.01,69,20,8.28,few clouds,0,0
415,Salamiyah,SY,2020-05-09 12:13:48,35.01,37.05,67.42,55,63,24.29,moderate rain,0,0
416,Aksarka,RU,2020-05-09 12:13:48,66.56,67.8,39.63,88,96,7.29,overcast clouds,0,0
417,Constantine,DZ,2020-05-09 12:07:00,36.37,6.61,77.0,47,75,2.24,broken clouds,0,0
418,Xuddur,SO,2020-05-09 12:13:49,4.12,43.89,88.34,50,71,8.43,moderate rain,0,0
419,Stephenville,US,2020-05-09 12:10:25,32.22,-98.2,52.0,71,75,5.82,broken clouds,0,0
420,Praia Da Vitoria,PT,2020-05-09 12:13:49,38.73,-27.07,64.4,88,75,10.6,broken clouds,0,0
421,Pasto,CO,2020-05-09 12:13:49,1.21,-77.28,53.67,89,100,6.96,moderate rain,0,0
422,Sultanpur,IN,2020-05-09 12:13:49,26.27,82.07,106.45,11,0,7.31,clear sky,0,0
423,Illapel,CL,2020-05-09 12:13:49,-31.63,-71.17,58.87,47,0,2.59,clear sky,0,0
424,Singleton,AU,2020-05-09 12:13:50,-32.57,151.18,61.0,65,40,8.01,scattered clouds,0,0
425,Rorvik,NO,2020-05-09 12:13:50,64.86,11.24,39.07,72,77,13.2,broken clouds,0,0
426,Hailar,CN,2020-05-09 12:13:50,49.2,119.7,57.78,42,100,8.41,light rain,0,0
427,Novyy Oskol,RU,2020-05-09 12:13:50,50.76,37.87,57.96,62,75,6.71,light rain,0,0
428,Pombia,IT,2020-05-09 12:13:50,45.65,8.63,75.99,27,20,5.82,few clouds,0,0
429,Cap Malheureux,MU,2020-05-09 12:06:40,-19.98,57.61,81.0,58,1,3.0,clear sky,0,0
430,Yar-Sale,RU,2020-05-09 12:13:51,66.83,70.83,33.82,99,61,5.61,broken clouds,0,0
431,Nogales,MX,2020-05-09 12:13:51,31.31,-110.94,68.0,55,1,2.44,clear sky,0,0
432,Skegness,GB,2020-05-09 12:13:51,53.14,0.34,69.8,52,40,3.36,scattered clouds,0,0
433,Suratgarh,IN,2020-05-09 12:13:51,29.32,73.9,109.98,8,29,13.0,scattered clouds,0,0
434,Sexsmith,CA,2020-05-09 12:13:51,55.35,-118.79,37.4,74,20,10.29,few clouds,0,0
435,Capaci,IT,2020-05-09 12:13:51,38.17,13.24,78.01,68,8,8.05,clear sky,0,0
436,Tandlianwala,PK,2020-05-09 12:13:51,31.03,73.13,110.16,8,2,8.23,clear sky,0,0
437,Mahebourg,MU,2020-05-09 12:06:43,-20.41,57.7,80.6,57,20,10.29,few clouds,0,0
438,Zyryanka,RU,2020-05-09 12:06:06,65.75,150.85,30.22,99,100,8.9,overcast clouds,0,0
439,Russell,US,2020-05-09 12:13:52,32.35,-85.2,51.8,62,1,8.05,clear sky,0,0
440,Cidreira,BR,2020-05-09 12:06:05,-30.18,-50.21,62.11,65,0,5.55,clear sky,0,0
441,Kysyl-Syr,RU,2020-05-09 12:06:54,63.9,122.76,23.07,96,81,1.19,broken clouds,0,0
442,Boguchany,RU,2020-05-09 12:13:52,58.38,97.45,54.82,66,82,7.72,broken clouds,0,0
443,Cururupu,BR,2020-05-09 12:13:53,-1.83,-44.87,83.26,81,84,1.05,light rain,0,0
444,Kalianget,ID,2020-05-09 12:13:53,-7.05,113.93,82.33,84,98,9.66,moderate rain,0,0
445,Naze,JP,2020-05-09 12:06:23,28.37,129.48,73.4,88,90,4.7,overcast clouds,0,0
446,Viedma,AR,2020-05-09 12:13:53,-40.81,-63.0,60.66,46,49,20.13,scattered clouds,0,0
447,Puerto Escondido,MX,2020-05-09 12:13:53,15.85,-97.07,81.23,66,90,5.1,overcast clouds,0,0
448,Teguise,ES,2020-05-09 12:13:53,29.06,-13.56,69.8,77,75,12.75,broken clouds,0,0
449,Bunesti,RO,2020-05-09 12:13:54,46.83,27.97,70.0,39,70,8.05,broken clouds,0,0
450,Port Hardy,CA,2020-05-09 12:06:16,50.7,-127.42,41.0,93,40,2.24,scattered clouds,0,0
451,Australind,AU,2020-05-09 12:13:54,-33.27,115.72,48.99,60,0,2.84,clear sky,0,0
452,Roma,US,2020-05-09 12:13:05,43.21,-75.46,30.99,68,20,9.17,few clouds,0,0
453,Kenai,US,2020-05-09 12:13:54,60.55,-151.26,48.2,70,90,8.05,overcast clouds,0,0
454,Jaguarao,BR,2020-05-09 12:13:55,-32.57,-53.38,54.12,72,8,6.22,clear sky,0,0
455,Sciacca,IT,2020-05-09 12:13:55,37.51,13.09,72.0,71,79,8.99,broken clouds,0,0
456,Flin Flon,CA,2020-05-09 12:07:07,54.77,-101.86,28.4,74,40,6.93,scattered clouds,0,0
457,Villefontaine,FR,2020-05-09 12:13:55,45.61,5.15,77.0,23,24,16.11,few clouds,0,0
458,Tual,ID,2020-05-09 12:13:55,-5.67,132.75,83.64,77,3,21.25,clear sky,0,0
459,Avanigadda,IN,2020-05-09 12:13:55,16.02,80.92,93.67,47,1,11.39,clear sky,0,0
460,The Pas,CA,2020-05-09 12:13:55,53.83,-101.25,26.6,79,75,4.7,broken clouds,0,0
461,Nago,JP,2020-05-09 12:13:56,26.59,127.98,75.2,88,90,6.93,overcast clouds,0,0
462,Sendai,JP,2020-05-09 12:11:29,38.27,140.87,60.8,77,75,2.24,broken clouds,0,0
463,Mazyr,BY,2020-05-09 12:13:56,52.05,29.25,59.88,46,62,4.83,broken clouds,0,0
464,Biak,ID,2020-05-09 12:13:56,-0.91,122.88,79.88,81,100,5.21,moderate rain,0,0
465,Ulaangom,MN,2020-05-09 12:13:56,49.98,92.07,55.58,32,0,8.05,clear sky,0,0
466,Klaksvik,FO,2020-05-09 12:13:56,62.23,-6.59,37.4,82,98,25.28,light rain,0,0
467,Arman,RU,2020-05-09 12:13:56,59.7,150.17,36.19,80,20,6.78,few clouds,0,0
468,Ellisras,ZA,2020-05-09 12:13:57,-23.66,27.74,82.26,27,2,1.77,clear sky,0,0
469,Yabrud,SY,2020-05-09 12:13:57,33.97,36.66,68.0,42,40,14.99,scattered clouds,0,0
470,Ekibastuz,KZ,2020-05-09 12:13:57,51.67,75.37,74.73,24,2,18.57,clear sky,0,0
471,Christchurch,NZ,2020-05-09 12:09:49,-43.53,172.63,55.99,87,5,11.41,clear sky,0,0
472,Broome,US,2020-05-09 12:04:31,42.25,-75.83,28.99,73,20,14.99,few clouds,0,0
473,Skjervoy,NO,2020-05-09 12:13:57,70.03,20.97,35.2,79,98,16.02,light snow,0,0
474,Tomatlan,MX,2020-05-09 12:06:28,19.93,-105.25,71.98,73,0,1.7,clear sky,0,0
475,Canon City,US,2020-05-09 12:13:58,38.44,-105.24,39.99,49,0,1.99,clear sky,0,0
476,Salinas,US,2020-05-09 12:13:58,36.68,-121.66,51.8,93,90,4.7,mist,0,0
477,Taitung,TW,2020-05-09 12:09:19,22.76,121.14,82.4,83,20,3.36,few clouds,0,0
478,Saint-Augustin,CA,2020-05-09 12:06:28,51.23,-58.65,38.19,90,83,12.39,broken clouds,0,0
479,Egvekinot,RU,2020-05-09 12:06:18,66.32,-179.17,29.46,95,90,12.95,overcast clouds,0,0
480,San Quintin,MX,2020-05-09 12:06:19,30.48,-115.95,63.03,86,33,3.67,scattered clouds,0,0
481,Dubai,AE,2020-05-09 12:10:57,25.26,55.3,96.8,41,0,10.29,clear sky,0,0
482,Port Macquarie,AU,2020-05-09 12:07:08,-31.43,152.92,57.99,94,88,9.22,overcast clouds,0,0
483,Kondinskoye,RU,2020-05-09 12:13:59,59.65,67.41,79.75,25,0,11.14,clear sky,0,0
484,Cao Bang,VN,2020-05-09 12:13:59,22.67,106.25,85.5,67,6,4.47,clear sky,0,0
485,Tessalit,ML,2020-05-09 12:13:59,20.2,1.01,103.51,7,0,5.14,clear sky,0,0
486,Matai,TZ,2020-05-09 12:13:59,-8.3,31.52,72.23,65,38,6.11,light rain,0,0
487,Bartlesville,US,2020-05-09 12:13:59,36.75,-95.98,43.0,93,1,2.82,clear sky,0,0
488,Kendari,ID,2020-05-09 12:13:59,-3.94,122.5,77.05,86,78,3.89,broken clouds,0,0
489,Severo-Yeniseyskiy,RU,2020-05-09 12:13:59,60.37,93.04,59.07,67,100,8.59,light rain,0,0
490,San Patricio,MX,2020-05-09 12:06:42,19.22,-104.7,74.03,63,0,3.24,clear sky,0,0
491,Xuanhua,CN,2020-05-09 12:14:00,40.61,115.04,69.85,20,100,6.26,overcast clouds,0,0
492,Matay,EG,2020-05-09 12:14:00,28.42,30.78,86.22,21,3,13.65,clear sky,0,0
493,Olafsvik,IS,2020-05-09 12:14:00,64.89,-23.71,35.26,75,0,9.04,clear sky,0,0
494,Bouna,CI,2020-05-09 12:14:00,9.27,-3.0,90.09,54,83,7.61,broken clouds,0,0
495,Bobo Dioulasso,BF,2020-05-09 12:14:00,11.18,-4.3,91.4,55,22,11.41,few clouds,0,0
496,Jesus Carranza,MX,2020-05-09 12:14:01,17.43,-95.03,76.5,83,79,1.9,broken clouds,0,0
497,Krasnyy Oktyabr,RU,2020-05-09 12:14:01,56.12,38.88,54.61,69,100,7.9,overcast clouds,0,0
498,Hudson Bay,CA,2020-05-09 12:14:01,52.85,-102.38,27.54,96,94,5.75,overcast clouds,0,0
499,Bechyne,CZ,2020-05-09 12:14:01,49.3,14.47,73.0,41,100,4.0,light rain,0,0
500,Kirakira,SB,2020-05-09 12:14:02,-10.45,161.92,78.62,82,5,8.05,clear sky,0,0
501,Krasnoselkup,RU,2020-05-09 12:06:47,65.7,82.47,37.51,90,100,10.76,overcast clouds,0,0
502,Nagua,DO,2020-05-09 12:14:02,19.38,-69.85,80.58,76,72,10.33,broken clouds,0,0
503,Waingapu,ID,2020-05-09 12:14:02,-9.66,120.26,77.59,80,96,9.19,overcast clouds,0,0
504,Taveta,KE,2020-05-09 12:14:02,-3.4,37.67,80.19,56,71,9.55,broken clouds,0,0
505,Mitchell,US,2020-05-09 12:14:02,43.71,-98.03,44.6,56,1,9.17,clear sky,0,0
