,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inch as ees (last 3 hrs)
56,New Norfolk,AU,2020-05-09 12:05:56,-42.78,147.06,43.0,79,63,1.01,broken clouds,0,0
57,Nanortalik,GL,2020-05-09 12:05:57,60.14,-45.24,39.97,68,0,5.75,clear sky,0,0
58,Manjacaze,MZ,2020-05-09 12:09:06,-24.71,33.88,77.9,49,44,9.71,scattered clouds,0,0
59,Guerrero Negro,MX,2020-05-09 12:07:05,27.98,-114.06,63.52,83,0,5.7,clear sky,0,0
60,Avarua,CK,2020-05-09 12:05:49,-21.21,-159.78,78.8,83,13,4.7,few clouds,0,0
61,Hay River,CA,2020-05-09 12:12:55,60.82,-115.8,28.4,86,75,8.05,broken clouds,0,0
62,Vila,PT,2020-05-09 12:12:55,42.03,-8.16,55.0,84,100,14.0,overcast clouds,0,0
63,Yellowknife,CA,2020-05-09 12:05:50,62.46,-114.35,24.8,79,75,10.29,broken clouds,0,0
64,Nantucket,US,2020-05-09 12:12:56,41.28,-70.1,41.0,86,90,20.8,overcast clouds,0,0
65,Mathathane,BW,2020-05-09 12:12:56,-22.27,28.75,79.03,36,0,10.58,clear sky,0,0
66,Khatanga,RU,2020-05-09 12:06:07,71.97,102.5,33.01,96,100,18.34,overcast clouds,0,0
67,Guanica,PR,2020-05-09 12:12:56,17.97,-66.91,82.99,70,99,5.01,overcast clouds,0,0
68,Sao Joao Da Barra,BR,2020-05-09 12:06:45,-21.64,-41.05,68.0,88,40,9.17,scattered clouds,0,0
69,Morondava,MG,2020-05-09 12:05:48,-20.28,44.28,81.39,54,0,9.31,clear sky,0,0
70,Saint-Georges,GD,2020-05-09 12:12:57,12.06,-61.75,82.4,74,40,13.87,scattered clouds,0,0
71,Leningradskiy,RU,2020-05-09 12:06:00,69.38,178.42,23.04,94,98,7.47,overcast clouds,0,0
72,Arraial Do Cabo,BR,2020-05-09 12:05:51,-22.97,-42.03,69.8,77,0,1.12,clear sky,0,0
73,Namibe,AO,2020-05-09 12:06:51,-15.2,12.15,98.6,37,0,18.34,clear sky,0,0
74,Ponnani,IN,2020-05-09 12:12:57,10.77,75.93,89.6,62,75,10.29,broken clouds,0,0
75,Kutum,SD,2020-05-09 12:06:54,14.2,24.67,94.77,9,8,10.36,clear sky,0,0
76,Port Alfred,ZA,2020-05-09 12:05:55,-33.59,26.89,66.99,92,0,7.56,clear sky,0,0
77,Hermanus,ZA,2020-05-09 12:05:58,-34.42,19.23,81.0,46,1,1.01,clear sky,0,0
78,Bereda,ES,2020-05-09 12:12:58,43.27,-7.54,70.0,74,99,5.99,overcast clouds,0,0
79,Asau,RO,2020-05-09 12:12:58,46.43,26.4,60.01,74,98,2.68,light rain,0,0
80,Dawei,MM,2020-05-09 12:06:34,14.08,98.2,84.99,76,80,3.4,broken clouds,0,0
81,Algeciras,ES,2020-05-09 12:12:58,36.13,-5.45,71.6,49,91,13.87,overcast clouds,0,0
82,Lambari,BR,2020-05-09 12:12:58,-21.98,-45.35,59.58,71,0,3.98,clear sky,0,0
83,Sawakin,SD,2020-05-09 12:10:06,19.11,37.33,88.32,66,75,12.48,broken clouds,0,0
84,Jamestown,US,2020-05-09 12:03:42,42.1,-79.24,24.8,73,75,10.29,broken clouds,0,0
85,Navahrudak,BY,2020-05-09 12:12:59,53.6,25.83,60.4,51,13,9.17,few clouds,0,0
86,Okha,RU,2020-05-09 12:12:59,53.57,142.95,32.0,99,100,3.31,light snow,0,0
87,La Esperanza,GT,2020-05-09 12:12:59,14.87,-91.57,50.0,99,95,4.5,light rain,0,0
88,Maues,BR,2020-05-09 12:12:59,-3.38,-57.72,77.36,93,85,2.15,overcast clouds,0,0
89,Davidson,US,2020-05-09 12:13:00,36.15,-86.78,37.0,59,1,1.81,clear sky,0,0
90,Santa Cruz,BO,2020-05-09 12:07:10,-17.8,-63.17,59.0,87,0,6.93,clear sky,0,0
91,Ostrovnoy,RU,2020-05-09 12:06:35,68.05,39.51,37.38,88,33,9.78,scattered clouds,0,0
92,Provideniya,RU,2020-05-09 12:05:53,64.38,-173.3,33.21,93,45,14.29,scattered clouds,0,0
93,Geraldton,AU,2020-05-09 12:06:00,-28.77,114.6,64.4,63,100,10.29,overcast clouds,0,0
94,Talnakh,RU,2020-05-09 12:06:28,69.49,88.4,32.0,98,75,13.42,broken clouds,0,0
95,Yongan,CN,2020-05-09 12:13:00,39.7,113.69,60.96,28,100,5.7,overcast clouds,0,0
96,Los Llanos De Aridane,ES,2020-05-09 12:13:01,28.66,-17.92,73.4,69,75,11.41,broken clouds,0,0
97,Hirado,JP,2020-05-09 12:13:01,33.36,129.55,69.01,94,75,11.41,light intensity shower rain,0,0
98,Bauchi,NG,2020-05-09 12:13:01,10.5,10.0,98.49,27,19,5.48,few clouds,0,0
99,Gat,IL,2020-05-09 12:06:03,31.61,34.76,79.0,55,33,5.99,scattered clouds,0,0
100,Juneau,US,2020-05-09 12:13:01,58.3,-134.42,46.99,75,40,5.53,scattered clouds,0,0
101,Turukhansk,RU,2020-05-09 12:13:02,65.82,87.98,38.62,94,100,14.41,overcast clouds,0,0
102,Nikolskoye,RU,2020-05-09 12:05:46,59.7,30.79,57.2,35,75,15.66,broken clouds,0,0
103,Richards Bay,ZA,2020-05-09 12:06:57,-28.78,32.04,76.62,65,20,5.12,few clouds,0,0
104,Yeppoon,AU,2020-05-09 12:09:20,-23.13,150.73,64.4,88,2,1.12,light rain,0,0
105,Faanui,PF,2020-05-09 12:06:26,-16.48,-151.75,81.86,80,16,13.13,few clouds,0,0
106,Saint-Philippe,RE,2020-05-09 12:05:54,-21.36,55.77,80.6,65,40,17.22,scattered clouds,0,0
107,Victoria,HK,2020-05-09 12:05:48,22.29,114.16,84.0,74,61,10.0,broken clouds,0,0
108,Boralday,KZ,2020-05-09 12:13:03,43.36,76.86,75.2,38,75,4.47,broken clouds,0,0
109,Vysha,RU,2020-05-09 12:13:03,53.85,42.38,58.41,75,100,4.56,overcast clouds,0,0
110,Carnarvon,AU,2020-05-09 12:05:55,-24.87,113.63,75.63,48,99,16.8,overcast clouds,0,0
111,Port Keats,AU,2020-05-09 12:13:03,-14.25,129.55,77.74,60,69,4.61,broken clouds,0,0
112,Fort Nelson,CA,2020-05-09 12:13:03,58.81,-122.7,39.74,70,87,4.27,overcast clouds,0,0
113,Twentynine Palms,US,2020-05-09 12:13:03,34.14,-116.05,68.0,22,1,9.17,clear sky,0,0
114,Dingle,PH,2020-05-09 12:06:15,11.0,122.67,81.45,68,43,5.32,scattered clouds,0,0
115,Luderitz,NA,2020-05-09 12:13:04,-26.65,15.16,71.6,49,0,12.75,clear sky,0,0
116,Thessalon,CA,2020-05-09 12:13:04,46.25,-83.57,30.2,80,90,5.82,overcast clouds,0,0
117,Inirida,CO,2020-05-09 12:13:04,3.87,-67.92,74.5,96,96,1.19,overcast clouds,0,0
118,Faya,SA,2020-05-09 12:06:29,18.39,42.45,80.6,28,20,10.29,few clouds,0,0
119,Ancud,CL,2020-05-09 12:06:49,-41.87,-73.82,52.0,100,20,10.29,few clouds,0,0
120,Te Anau,NZ,2020-05-09 12:13:04,-45.42,167.72,50.02,87,100,2.57,overcast clouds,0,0
121,Husavik,IS,2020-05-09 12:06:47,66.04,-17.34,35.6,43,40,6.93,scattered clouds,0,0
122,Baker City,US,2020-05-09 12:13:05,44.77,-117.83,35.6,80,1,3.36,clear sky,0,0
123,Tuatapere,NZ,2020-05-09 12:06:45,-46.13,167.68,52.3,83,24,6.8,few clouds,0,0
124,Tilichiki,RU,2020-05-09 12:06:38,60.47,166.1,29.88,100,100,15.19,light snow,0,0
125,Belmonte,BR,2020-05-09 12:13:05,-15.86,-38.88,69.8,88,75,6.93,broken clouds,0,0
126,Dois Corregos,BR,2020-05-09 12:13:05,-22.37,-48.38,64.0,70,26,7.0,scattered clouds,0,0
127,Raybag,IN,2020-05-09 12:13:05,16.48,74.78,97.32,23,59,2.04,broken clouds,0,0
128,Dajal,PK,2020-05-09 12:13:05,29.56,70.38,111.47,7,0,13.4,clear sky,0,0
129,Santa Rita,BR,2020-05-09 12:13:06,-7.11,-34.98,80.6,83,40,9.17,scattered clouds,0,0
130,Tuktoyaktuk,CA,2020-05-09 12:05:45,69.45,-133.04,22.77,96,0,15.5,clear sky,0,0
131,Lagoa,PT,2020-05-09 12:06:27,39.05,-27.98,62.76,92,80,21.77,broken clouds,0,0
132,San Javier,ES,2020-05-09 12:13:06,37.81,-0.84,73.99,77,75,6.93,broken clouds,0,0
133,Castro,BR,2020-05-09 12:02:34,-24.79,-50.01,53.65,80,69,6.62,broken clouds,0,0
134,Nishihara,JP,2020-05-09 12:13:06,26.18,127.76,77.0,88,75,6.93,broken clouds,0,0
135,Iquitos,PE,2020-05-09 12:13:07,-3.75,-73.25,71.6,100,90,1.66,overcast clouds,0,0
136,Beloha,MG,2020-05-09 12:07:03,-25.17,45.05,76.28,54,18,16.15,few clouds,0,0
137,Chuy,UY,2020-05-09 12:05:47,-33.7,-53.46,53.44,73,26,8.08,scattered clouds,0,0
138,Turbiv,UA,2020-05-09 12:13:07,49.35,28.72,62.6,33,65,11.18,broken clouds,0,0
139,Merauke,ID,2020-05-09 12:06:27,-8.47,140.33,80.22,81,11,16.42,few clouds,0,0
140,Necochea,AR,2020-05-09 12:05:47,-38.55,-58.74,55.0,74,82,10.0,broken clouds,0,0
141,Alihe,CN,2020-05-09 12:13:07,50.57,123.72,52.5,61,92,8.16,overcast clouds,0,0
142,Vaini,TO,2020-05-09 12:05:46,-21.2,-175.2,78.8,94,75,8.05,broken clouds,0,0
143,Athabasca,CA,2020-05-09 12:13:08,54.72,-113.29,35.85,89,45,6.44,scattered clouds,0,0
144,Paamiut,GL,2020-05-09 12:13:08,61.99,-49.67,38.25,77,50,7.45,scattered clouds,0,0
145,Bembereke,BJ,2020-05-09 12:13:08,10.23,2.66,105.4,28,46,1.43,scattered clouds,0,0
146,Grindavik,IS,2020-05-09 12:13:08,63.84,-22.43,41.0,30,0,9.17,clear sky,0,0
147,Paso De Carrasco,UY,2020-05-09 12:13:08,-34.86,-56.05,51.01,81,100,9.17,overcast clouds,0,0
148,Yanam,IN,2020-05-09 12:06:18,16.73,82.22,90.27,56,3,9.71,clear sky,0,0
149,Dikson,RU,2020-05-09 12:06:07,73.51,80.55,31.73,96,99,18.25,overcast clouds,0,0
150,Upernavik,GL,2020-05-09 12:06:15,72.79,-56.15,20.82,95,100,11.79,overcast clouds,0,0
151,Salalah,OM,2020-05-09 12:06:43,17.02,54.09,89.6,70,20,14.99,few clouds,0,0
152,Novikovo,RU,2020-05-09 12:13:09,51.15,37.89,57.63,58,80,5.75,broken clouds,0,0
153,Ilulissat,GL,2020-05-09 12:06:24,69.22,-51.1,30.2,80,75,3.36,broken clouds,0,0
154,Sola,VU,2020-05-09 12:06:56,-13.88,167.55,80.11,80,0,15.21,clear sky,0,0
155,Chokurdakh,RU,2020-05-09 12:05:59,70.63,147.92,28.36,98,98,5.26,overcast clouds,0,0
156,Santa Lucia,ES,2020-05-09 12:13:09,27.91,-15.54,77.0,61,20,27.51,few clouds,0,0
157,Fortuna,US,2020-05-09 12:06:19,40.6,-124.16,51.01,100,90,3.15,overcast clouds,0,0
158,Kincardine,GB,2020-05-09 12:13:10,56.07,-3.72,66.99,63,20,6.93,few clouds,0,0
159,Saiha,IN,2020-05-09 12:13:10,22.48,92.97,79.65,39,0,1.54,clear sky,0,0
160,Sao Filipe,CV,2020-05-09 12:05:57,14.9,-24.5,74.55,73,61,12.86,broken clouds,0,0
161,Aklavik,CA,2020-05-09 12:06:03,68.22,-135.01,32.0,97,20,9.17,few clouds,0,0
162,Holguin,CU,2020-05-09 12:13:10,20.89,-76.26,77.0,94,75,5.82,fog,0,0
163,Urubamba,PE,2020-05-09 12:13:10,-13.3,-72.12,53.11,61,61,1.39,broken clouds,0,0
164,Tallahassee,US,2020-05-09 12:13:11,30.44,-84.28,64.4,52,75,11.41,broken clouds,0,0
165,Tabuk,PH,2020-05-09 12:06:22,17.42,121.44,79.34,76,44,5.39,scattered clouds,0,0
166,Nokaneng,BW,2020-05-09 12:13:11,-19.67,22.27,84.02,19,0,8.37,clear sky,0,0
167,Alofi,NU,2020-05-09 12:12:08,-19.06,-169.92,75.2,100,67,3.36,broken clouds,0,0
168,Constitucion,CL,2020-05-09 12:06:29,-35.33,-72.42,55.24,91,62,0.87,broken clouds,0,0
169,Petropavlovsk-Kamchatskiy,RU,2020-05-09 12:06:08,53.05,158.65,42.8,52,37,8.95,scattered clouds,0,0
170,Muros,ES,2020-05-09 12:07:11,42.78,-9.06,64.0,82,100,18.99,overcast clouds,0,0
171,Georgetown,MY,2020-05-09 12:05:47,5.41,100.34,86.0,84,40,6.93,thunderstorm with light rain,0,0
172,Dicabisagan,PH,2020-05-09 12:06:51,17.08,122.42,81.23,78,38,2.35,scattered clouds,0,0
173,Corbelia,BR,2020-05-09 12:13:12,-24.8,-53.31,55.65,68,0,10.45,clear sky,0,0
174,Bethel,US,2020-05-09 12:05:09,41.37,-73.41,34.0,83,1,17.22,light rain,0,0
175,Cherskiy,RU,2020-05-09 12:06:17,68.75,161.3,32.92,87,0,7.49,clear sky,0,0
176,Sorland,NO,2020-05-09 12:06:21,67.67,12.69,37.4,55,40,8.05,shower rain,0,0
177,Cartagena,CO,2020-05-09 12:08:49,10.4,-75.51,82.4,88,40,4.7,haze,0,0
178,Sokolka,PL,2020-05-09 12:13:12,53.41,23.5,66.99,48,75,13.42,broken clouds,0,0
179,Mahibadhoo,MV,2020-05-09 12:05:59,3.78,72.97,85.15,77,98,12.68,overcast clouds,0,0
180,Wanning,CN,2020-05-09 12:13:13,18.8,110.4,82.08,87,40,11.81,scattered clouds,0,0
181,Vitim,RU,2020-05-09 12:06:26,59.45,112.56,45.48,52,100,3.13,overcast clouds,0,0
182,Narsaq,GL,2020-05-09 12:06:36,60.92,-46.05,51.8,14,20,21.92,few clouds,0,0
183,Mazamari,PE,2020-05-09 12:13:13,-11.33,-74.53,66.51,78,57,0.31,broken clouds,0,0
184,Pevek,RU,2020-05-09 12:06:25,69.7,170.31,31.51,88,29,3.85,scattered clouds,0,0
185,Gallup,US,2020-05-09 12:06:23,35.53,-108.74,32.0,37,1,3.36,clear sky,0,0
186,Norman Wells,CA,2020-05-09 12:06:05,65.28,-126.83,26.6,86,5,8.05,clear sky,0,0
187,Benguela,AO,2020-05-09 12:13:14,-12.58,13.41,86.0,70,0,9.17,clear sky,0,0
188,Caravelas,BR,2020-05-09 12:06:26,-17.71,-39.25,75.69,66,99,12.64,light rain,0,0
189,Mogadishu,SO,2020-05-09 12:13:14,2.04,45.34,85.69,71,42,12.46,light rain,0,0
190,Severo-Kurilsk,RU,2020-05-09 12:05:46,50.68,156.12,33.71,90,79,17.6,broken clouds,0,0
191,Katsuura,JP,2020-05-09 12:09:05,35.13,140.3,66.0,74,100,5.99,overcast clouds,0,0
192,Lubumbashi,CD,2020-05-09 12:10:16,-11.66,27.48,76.01,51,55,7.34,broken clouds,0,0
193,Carmelo,UY,2020-05-09 12:13:15,-33.99,-58.29,53.6,87,89,3.36,overcast clouds,0,0
194,Devrek,TR,2020-05-09 12:13:15,41.22,31.96,64.9,40,2,8.59,clear sky,0,0
195,Huicheng,CN,2020-05-09 12:13:15,23.04,116.29,86.0,74,20,11.18,few clouds,0,0
196,Bull Savanna,JM,2020-05-09 12:13:15,17.89,-77.59,77.32,84,100,11.74,overcast clouds,0,0
197,Itacarambi,BR,2020-05-09 12:13:15,-15.1,-44.09,67.64,77,100,7.31,overcast clouds,0,0
198,Khor,RU,2020-05-09 12:13:15,47.89,134.95,57.25,38,100,6.17,overcast clouds,0,0
199,Monmouth,US,2020-05-09 12:11:20,40.3,-74.17,37.0,51,15,5.99,few clouds,0,0
200,Tura,IN,2020-05-09 12:13:15,25.52,90.22,83.17,38,21,3.69,few clouds,0,0
201,Ponte De Sor,PT,2020-05-09 12:13:16,39.25,-8.01,66.0,52,100,7.0,light rain,0,0
202,Tasiilaq,GL,2020-05-09 12:05:55,65.61,-37.64,26.6,92,40,1.12,fog,0,0
203,Mao,ES,2020-05-09 12:09:04,39.89,4.27,66.2,88,75,6.93,broken clouds,0,0
204,Nampula,MZ,2020-05-09 12:13:16,-15.12,39.27,78.8,54,75,11.41,broken clouds,0,0
205,Mashhad,IR,2020-05-09 12:13:16,36.3,59.61,80.6,24,20,6.93,few clouds,0,0
206,Baghdad,IQ,2020-05-09 12:13:11,33.34,44.4,102.2,15,5,31.09,clear sky,0,0
207,Torbay,CA,2020-05-09 12:01:07,47.67,-52.73,45.0,70,75,24.16,broken clouds,0,0
208,Buala,SB,2020-05-09 12:06:57,-8.14,159.59,81.82,83,1,5.23,light rain,0,0
209,Makakilo City,US,2020-05-09 12:06:48,21.35,-158.09,73.4,88,1,5.82,clear sky,0,0
210,Angahuan,MX,2020-05-09 12:13:17,19.55,-102.18,64.4,63,5,2.3,smoke,0,0
211,Kapaa,US,2020-05-09 12:05:56,22.08,-159.32,68.0,82,20,6.93,few clouds,0,0
212,San Cristobal,VE,2020-05-09 12:06:29,7.77,-72.22,70.79,75,85,6.29,overcast clouds,0,0
213,Dalby,AU,2020-05-09 12:13:17,-27.18,151.27,69.01,53,92,8.99,light rain,0,0
214,Kaitangata,NZ,2020-05-09 12:06:10,-46.28,169.85,50.36,85,59,3.83,broken clouds,0,0
215,Olinda,BR,2020-05-09 12:13:18,-8.01,-34.86,84.2,74,40,13.87,scattered clouds,0,0
216,Prince Rupert,CA,2020-05-09 12:13:18,54.32,-130.32,50.0,64,75,3.78,broken clouds,0,0
217,Krasnyy Chikoy,RU,2020-05-09 12:13:18,50.36,108.75,40.01,65,78,5.95,broken clouds,0,0
218,Kruisfontein,ZA,2020-05-09 12:06:11,-34.0,24.73,73.85,55,0,9.01,clear sky,0,0
219,Shanghai,CN,2020-05-09 12:11:27,31.22,121.46,69.01,72,20,8.95,few clouds,0,0
220,Sitka,US,2020-05-09 12:06:32,57.05,-135.33,53.6,54,40,4.7,scattered clouds,0,0
221,Sorong,ID,2020-05-09 12:13:18,-0.88,131.25,82.17,86,100,12.82,light rain,0,0
222,Svalyava,UA,2020-05-09 12:13:18,48.55,23.0,72.0,42,67,6.71,light rain,0,0
223,Thinadhoo,MV,2020-05-09 12:12:11,0.53,72.93,84.85,77,100,14.94,light rain,0,0
224,Kupang,ID,2020-05-09 12:13:19,-10.17,123.58,78.8,65,20,10.29,few clouds,0,0
225,Nhulunbuy,AU,2020-05-09 12:09:44,-12.23,136.77,80.6,74,40,8.05,scattered clouds,0,0
226,Gravdal,NO,2020-05-09 12:13:19,68.12,13.5,37.4,55,40,8.05,shower rain,0,0
227,Ko Samui,TH,2020-05-09 12:06:00,9.54,99.94,87.8,74,20,5.82,few clouds,0,0
228,Dongsheng,CN,2020-05-09 12:13:19,39.82,109.98,58.98,30,45,14.9,scattered clouds,0,0
229,La Fria,VE,2020-05-09 12:13:19,8.22,-72.24,80.15,61,83,1.48,broken clouds,0,0
230,Kahului,US,2020-05-09 12:05:59,20.89,-156.47,71.6,83,90,8.05,overcast clouds,0,0
231,Lompoc,US,2020-05-09 12:06:32,34.64,-120.46,55.0,93,90,8.05,mist,0,0
232,Banikoara,BJ,2020-05-09 12:13:20,11.3,2.44,106.97,23,28,3.31,scattered clouds,0,0
233,Port Elizabeth,ZA,2020-05-09 12:04:55,-33.92,25.57,72.77,58,14,8.93,few clouds,0,0
234,Mae Sot,TH,2020-05-09 12:13:20,16.72,98.57,98.6,37,20,11.41,few clouds,0,0
235,Coquimbo,CL,2020-05-09 12:06:26,-29.95,-71.34,55.4,82,37,6.93,scattered clouds,0,0
236,Oksfjord,NO,2020-05-09 12:13:20,70.24,22.35,37.4,47,98,9.17,light snow,0,0
237,Kurilsk,RU,2020-05-09 12:12:06,45.23,147.88,39.45,85,78,7.38,broken clouds,0,0
238,Kinablangan,PH,2020-05-09 12:13:21,7.69,126.55,81.93,83,88,6.49,light rain,0,0
239,Ibotirama,BR,2020-05-09 12:13:21,-12.19,-43.22,73.54,78,89,4.97,overcast clouds,0,0
240,Pimentel,PE,2020-05-09 12:13:21,-6.84,-79.93,67.26,89,83,8.9,broken clouds,0,0
241,Jinchang,CN,2020-05-09 12:13:21,38.5,102.17,63.09,19,92,7.47,overcast clouds,0,0
242,Corpus Christi,US,2020-05-09 12:10:40,27.8,-97.4,64.4,93,90,18.34,heavy intensity rain,0,0
243,Acajutla,SV,2020-05-09 12:13:21,13.59,-89.83,68.0,100,100,4.03,overcast clouds,0,0
244,Shingu,JP,2020-05-09 12:13:22,33.73,135.98,60.62,91,92,2.98,overcast clouds,0,0
245,Chapais,CA,2020-05-09 12:08:52,49.78,-74.85,23.0,85,90,10.29,light snow,0,0
246,Ajdabiya,LY,2020-05-09 12:13:22,30.76,20.23,80.47,16,10,0.72,clear sky,0,0
247,Praia,CV,2020-05-09 12:10:03,14.92,-23.51,78.8,57,75,21.92,broken clouds,0,0
248,Novyy Urgal,RU,2020-05-09 12:13:22,51.07,132.56,44.8,80,86,3.11,overcast clouds,0,0
249,Beringovskiy,RU,2020-05-09 12:06:26,63.05,179.32,32.14,98,100,20.85,light snow,0,0
250,Ovalle,CL,2020-05-09 12:13:23,-30.6,-71.2,56.68,72,0,1.7,clear sky,0,0
251,Namatanai,PG,2020-05-09 12:09:09,-3.67,152.43,81.64,81,16,7.23,few clouds,0,0
