City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Vaitape,PF,2020-05-05 01:55:58,-16.52,-151.75,83.35,73,0,8.57
70,Mar Del Plata,AR,2020-05-05 01:54:46,-38.0,-57.56,59.0,82,90,6.93
71,Orbetello,IT,2020-05-05 01:55:58,42.44,11.22,60.8,82,0,3.36
72,Sitka,US,2020-05-05 01:55:59,57.05,-135.33,55.4,43,40,9.17
73,Butaritari,KI,2020-05-05 01:55:59,3.07,172.79,83.3,82,99,15.05
74,Ponta Do Sol,PT,2020-05-05 01:55:59,32.67,-17.1,64.4,68,75,4.7
75,Tasiilaq,GL,2020-05-05 01:54:49,65.61,-37.64,37.4,44,0,13.87
76,Pevek,RU,2020-05-05 01:55:21,69.7,170.31,19.44,94,79,3.44
77,Marawi,PH,2020-05-05 01:55:59,8.0,124.29,84.0,82,0,5.99
78,Port Elizabeth,ZA,2020-05-05 01:55:59,-33.92,25.57,57.2,87,0,6.93
79,Bambous Virieux,MU,2020-05-05 01:55:59,-20.34,57.76,73.4,83,20,5.82
80,Peniche,PT,2020-05-05 01:56:00,39.36,-9.38,60.01,89,66,4.0
81,Hithadhoo,MV,2020-05-05 01:56:00,-0.6,73.08,84.43,75,100,15.68
82,Cabedelo,BR,2020-05-05 01:56:00,-6.98,-34.83,78.8,88,20,5.82
83,Tiksi,RU,2020-05-05 01:55:54,71.69,128.87,23.38,95,100,6.64
84,Asau,RO,2020-05-05 01:56:00,46.43,26.4,48.0,88,96,3.33
85,Bereda,ES,2020-05-05 01:56:00,43.27,-7.54,55.0,90,41,4.0
86,Souillac,MU,2020-05-05 01:56:01,-20.52,57.52,73.4,83,20,5.82
87,Airai,TL,2020-05-05 01:56:01,-8.93,125.41,69.53,57,100,3.74
88,Saskylakh,RU,2020-05-05 01:56:01,71.92,114.08,7.41,93,98,13.62
89,Mareeba,AU,2020-05-05 01:56:01,-17.0,145.43,82.4,51,40,14.99
90,Upernavik,GL,2020-05-05 01:56:01,72.79,-56.15,21.96,93,100,15.68
91,Bredasdorp,ZA,2020-05-05 01:56:01,-34.53,20.04,55.4,87,0,5.82
92,Hasaki,JP,2020-05-05 01:56:01,35.73,140.83,82.0,61,40,6.93
93,Jakar,BT,2020-05-05 01:56:02,27.55,90.75,55.42,31,48,2.39
94,Butembo,CD,2020-05-05 01:56:02,0.15,29.28,58.44,61,100,3.0
95,Nelson Bay,AU,2020-05-05 01:56:02,-32.72,152.15,62.6,88,75,6.93
96,Talakan,RU,2020-05-05 01:56:02,50.32,130.37,51.96,36,73,10.47
97,Port Hardy,CA,2020-05-05 01:56:02,50.7,-127.42,48.2,81,90,17.22
98,Vardo,NO,2020-05-05 01:56:02,70.37,31.11,37.76,80,96,19.35
