,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Ambilobe,MG,70.92,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
521,Gorontalo,ID,86.79,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
524,Bara,NG,84.02,scattered clouds,10.37,10.73,
526,Mossendjo,CG,71.69,moderate rain,-2.95,12.73,HOTEL D'ASSISE
527,Hirara,JP,82.4,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
528,Eyl,SO,82.29,broken clouds,7.98,49.82,Amiin Hotel
530,Manadhoo,MV,82.71,overcast clouds,5.77,73.38,Reason Inn
532,Cabedelo,BR,75.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
538,Phangnga,TH,78.8,scattered clouds,8.45,98.53,Muang Thong Hotel
539,Manjeshwar,IN,82.4,scattered clouds,12.72,74.89,THE NOUSHA VILLAGE
540,Meulaboh,ID,78.58,overcast clouds,4.14,96.13,Kost Pria
543,Cockburn Town,TC,80.82,clear sky,21.46,-71.14,Osprey Beach Hotel
544,Boulder City,US,100.0,clear sky,35.98,-114.83,Boulder Dam Hotel
546,Laguna,US,91.4,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
547,Cotonou,BJ,84.2,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
550,Vaitape,PF,81.84,clear sky,-16.52,-151.75,Hotel Maitai Polynesia
554,Sonipat,IN,82.4,haze,28.98,77.02,Cygnett Lite Sonipat
555,Shenzhen,CN,87.01,scattered clouds,22.55,114.07,Shun Hing Square
557,Kabanjahe,ID,78.8,mist,3.1,98.49,Pelindung Bawah Losmen
558,Pocone,BR,70.63,clear sky,-16.26,-56.62,Hotel e Churrascaria Pantaneira
560,Lillooet,CA,84.2,clear sky,50.69,-121.94,Hotel Victoria
